attendance,cgpa,arrear_count,fees_paid,disciplinary_issues,year,semester,dropout,low_attendance,low_cgpa,high_arrears,financial_risk,behavior_risk
78,5.16,4,0,0,3,3,1,0,0,1,1,0
91,7.71,6,1,0,1,1,1,0,0,1,0,0
68,3.59,5,0,0,1,6,1,0,1,1,1,0
54,9.12,7,0,1,3,7,1,1,0,1,1,1
82,4.3,2,0,0,2,6,1,0,1,0,1,0
47,4.94,1,1,0,2,5,1,1,1,0,0,0
60,2.46,7,1,0,2,6,0,0,1,1,0,0
78,2.89,3,1,0,3,8,1,0,1,0,0,0
97,6.13,1,1,0,3,3,0,0,0,0,0,0
58,4.14,1,1,0,3,3,1,1,1,0,0,0
62,8.68,6,1,0,3,4,0,0,0,1,0,0
50,2.12,0,1,0,2,5,1,1,1,0,0,0
50,5.03,4,1,0,2,5,1,1,0,1,0,0
63,4.7,4,1,0,4,6,1,0,1,1,0,0
92,2.15,4,1,0,3,3,1,0,1,1,0,0
75,2.99,0,1,0,4,1,1,0,1,0,0,0
79,5.31,6,1,0,3,8,1,0,0,1,0,0
63,5.94,7,0,0,4,8,1,0,0,1,1,0
42,5.23,2,0,0,2,4,1,1,0,0,1,0
61,6.25,2,1,1,2,1,1,0,0,0,0,1
92,6.76,6,1,0,4,8,1,0,0,1,0,0
41,2.08,3,0,0,1,3,1,1,1,0,1,0
63,5.71,2,1,0,3,5,0,0,0,0,0,0
83,9.71,6,0,0,4,5,1,0,0,1,1,0
69,6.15,7,1,0,4,7,1,0,0,1,0,0
77,7.42,2,1,0,1,8,0,0,0,0,0,0
41,4.49,4,1,1,2,1,1,1,1,1,0,1
99,8.19,5,0,0,4,7,1,0,0,1,1,0
60,8.18,6,0,0,2,7,1,0,0,1,1,0
72,6.17,1,1,0,3,2,1,0,0,0,0,0
51,9.81,2,0,0,1,8,1,1,0,0,1,0
97,3.0,2,1,0,2,8,1,0,1,0,0,0
61,2.14,0,1,0,4,3,0,0,1,0,0,0
83,8.16,3,0,0,1,5,1,0,0,0,1,0
64,8.46,5,0,0,1,6,1,0,0,1,1,0
88,2.96,7,1,0,1,2,1,0,1,1,0,0
66,4.12,0,0,0,1,5,1,0,1,0,1,0
98,2.14,4,0,0,1,6,0,0,1,1,1,0
81,4.35,1,1,0,3,5,1,0,1,0,0,0
67,8.19,3,1,1,3,2,1,0,0,0,0,1
99,6.14,0,1,0,1,1,0,0,0,0,0,0
55,4.78,6,0,1,4,3,1,1,1,1,1,1
54,4.97,2,1,0,4,7,0,1,1,0,0,0
86,2.01,2,1,0,3,2,1,0,1,0,0,0
90,4.4,3,1,0,2,2,1,0,1,0,0,0
83,7.17,2,1,1,1,7,1,0,0,0,0,1
94,9.79,6,1,0,4,8,1,0,0,1,0,0
91,8.78,0,1,0,3,5,0,0,0,0,0,0
96,2.19,0,0,0,3,8,1,0,1,0,1,0
42,9.19,2,1,1,2,6,1,1,0,0,0,1
76,8.27,2,1,1,2,7,1,0,0,0,0,1
90,8.24,4,1,1,4,2,1,0,0,1,0,1
46,5.66,1,0,1,2,8,1,1,0,0,1,1
60,5.18,7,0,0,2,3,1,0,0,1,1,0
48,4.42,3,1,0,1,7,1,1,1,0,0,0
78,2.53,0,1,0,3,7,1,0,1,0,0,0
57,3.83,3,1,0,3,1,0,1,1,0,0,0
43,3.97,4,0,0,2,6,1,1,1,1,1,0
64,5.87,0,0,1,3,8,0,0,0,0,1,1
99,7.98,4,1,0,3,1,1,0,0,1,0,0
53,5.79,4,1,0,4,8,1,1,0,1,0,0
89,2.46,5,1,1,3,1,1,0,1,1,0,1
97,9.66,2,1,0,2,3,0,0,0,0,0,0
48,9.54,6,1,0,4,5,1,1,0,1,0,0
65,8.28,5,1,0,3,6,1,0,0,1,0,0
92,9.93,7,1,0,3,6,1,0,0,1,0,0
41,6.36,3,1,0,4,8,1,1,0,0,0,0
59,9.7,6,1,0,4,7,1,1,0,1,0,0
67,2.6,3,0,0,3,3,0,0,1,0,1,0
86,4.93,2,1,1,1,8,1,0,1,0,0,1
99,3.8,6,0,0,1,6,1,0,1,1,1,0
46,3.57,5,1,0,3,2,1,1,1,1,0,0
83,3.13,3,1,1,3,4,0,0,1,0,0,1
47,6.98,5,0,0,4,7,1,1,0,1,1,0
86,8.25,2,1,0,4,4,0,0,0,0,0,0
74,6.63,6,0,0,3,4,1,0,0,1,1,0
53,3.18,6,1,0,3,1,1,1,1,1,0,0
56,8.49,0,1,0,3,8,0,1,0,0,0,0
75,7.09,4,0,0,3,6,1,0,0,1,1,0
89,5.11,4,1,0,1,8,1,0,0,1,0,0
79,7.39,5,0,0,4,7,1,0,0,1,1,0
43,4.08,6,0,0,2,3,1,1,1,1,1,0
41,4.76,3,1,0,3,6,1,1,1,0,0,0
45,9.34,5,1,0,3,3,0,1,0,1,0,0
93,4.32,5,0,1,3,8,1,0,1,1,1,1
81,5.76,1,1,0,2,6,0,0,0,0,0,0
43,9.12,7,1,0,4,7,1,1,0,1,0,0
93,7.66,6,1,0,4,8,1,0,0,1,0,0
68,2.5,4,0,0,3,7,1,0,1,1,1,0
57,3.18,6,1,0,3,1,1,1,1,1,0,0
65,2.06,2,1,0,4,7,1,0,1,0,0,0
83,7.05,5,1,0,2,2,1,0,0,1,0,0
73,5.58,1,1,0,3,4,0,0,0,0,0,0
49,3.07,1,1,0,2,4,1,1,1,0,0,0
75,9.66,4,0,0,2,6,1,0,0,1,1,0
53,6.24,4,1,0,4,1,1,1,0,1,0,0
70,3.94,4,1,0,3,4,1,0,1,1,0,0
87,6.0,2,1,0,1,6,0,0,0,0,0,0
54,7.44,1,1,0,4,7,0,1,0,0,0,0
47,2.61,3,1,0,4,5,1,1,1,0,0,0
53,4.2,2,1,0,1,6,0,1,1,0,0,0
62,8.46,0,1,0,3,3,0,0,0,0,0,0
99,5.68,7,0,0,2,4,1,0,0,1,1,0
96,6.37,7,1,0,2,4,1,0,0,1,0,0
79,5.46,5,1,0,2,5,1,0,0,1,0,0
60,2.35,7,1,0,3,7,1,0,1,1,0,0
55,3.33,4,1,0,4,2,1,1,1,1,0,0
84,5.56,1,1,0,4,8,0,0,0,0,0,0
57,3.67,7,1,1,4,6,1,1,1,1,0,1
86,2.4,5,1,1,4,2,0,0,1,1,0,1
92,8.75,7,1,0,4,6,1,0,0,1,0,0
63,9.85,6,1,1,1,5,1,0,0,1,0,1
65,8.35,2,1,0,2,2,0,0,0,0,0,0
64,8.83,0,0,0,2,1,1,0,0,0,1,0
99,3.94,6,0,0,3,5,1,0,1,1,1,0
99,9.69,2,1,0,1,7,0,0,0,0,0,0
99,3.58,2,0,1,4,8,1,0,1,0,1,1
